id,title,release_year,tags
1452,Superman Returns,2006,superman returns to discover his 5year absence has allowed lex luthor to walk free and that those he was closest too felt abandoned and have moved on luthor plots his ultimate revenge that could see millions killed and change the face of the planet forever as well as ridding himself of the man of steel adventure fantasy action sciencefiction saving the world dc comics invulnerability sequel superhero based on comic book kryptonite super powers superhuman strength lex luthor brandonrouth kevinspacey katebosworth jamesmarsden parkerposey bryansinger millennium
10764,Quantum of Solace,2008,quantum of solace continues the adventures of james bond after casino royale betrayed by vesper the woman he loved 007 fights the urge to make his latest mission personal pursuing his determination to uncover the truth bond and m interrogate mr white who reveals that the organization that blackmailed vesper is far more complex and dangerous than anyone had imagined adventure action thriller crime killing undercover secret agent british secret service danielcraig olgakurylenko mathieuamalric judidench giancarlogiannini marcforster millennium
58,Pirates of the Caribbean: Dead Man's Chest,2006,captain jack sparrow works his way out of a blood debt with the ghostly davey jones he also attempts to avoid eternal damnation adventure fantasy action witch fortune teller bondage exotic island monster captain card game east india trading company compass ship daughter pirate swashbuckler aftercreditsstinger johnnydepp orlandobloom keiraknightley stellanskarsgård billnighy goreverbinski millennium
57201,The Lone Ranger,2013,the texas rangers chase down a gang of outlaws led by butch cavendish but the gang ambushes the rangers seemingly killing them all one survivor is found however by an american indian named tonto who nurses him back to health the ranger donning a mask and riding a white stallion named silver teams up with tonto to bring the unscrupulous gang and others of that ilk to justice action adventure western texas horse survivor texas ranger partner outlaw escape lawyer train lone ranger comanche the lone ranger tonto johnnydepp armiehammer williamfichtner helenabonhamcarter jamesbadgedale goreverbinski recent
49521,Man of Steel,2013,a young boy learns that he has extraordinary powers and is not of this earth as a young man he journeys to discover where he came from and what he was sent here to do but the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind action adventure fantasy sciencefiction saving the world dc comics superhero based on comic book superhuman alien invasion reboot super powers dc extended universe henrycavill amyadams michaelshannon kevincostner dianelane zacksnyder recent
2454,The Chronicles of Narnia: Prince Caspian,2008,one year after their incredible adventures in the lion the witch and the wardrobe peter edmund lucy and susan pevensie return to narnia to aid a young prince whose life has been threatened by the evil king miraz now with the help of a colorful cast of new characters including trufflehunter the badger and nikabrik the dwarf the pevensie clan embarks on an incredible quest to ensure that narnia is returned to its rightful heir adventure family fantasy based on novel fictional place brother sister relationship lion human being wretch leap in time matter of life and death faith uncle narnia fantasy world benbarnes williammoseley annapopplewell skandarkeynes georgiehenley andrewadamson millennium
24428,The Avengers,2012,when an unexpected enemy emerges and threatens global safety and security nick fury director of the international peacekeeping agency known as shield finds himself in need of a team to pull the world back from the brink of disaster spanning the globe a daring recruitment effort begins sciencefiction action adventure new york shield marvel comic superhero based on comic book alien invasion superhero team aftercreditsstinger duringcreditsstinger marvel cinematic universe robertdowneyjr. chrisevans markruffalo chrishemsworth scarlettjohansson josswhedon recent
1865,Pirates of the Caribbean: On Stranger Tides,2011,captain jack sparrow crosses paths with a woman from his past and hes not sure if its love or if shes a ruthless con artist whos using him to find the fabled fountain of youth when she forces him aboard the queen annes revenge the ship of the formidable pirate blackbeard jack finds himself on an unexpected adventure in which he doesnt know who to fear more blackbeard or the woman from his past adventure action fantasy sea captain mutiny sword prime minister sailing silver ship duke mermaid pirate soldier battle swashbuckler aftercreditsstinger 3d johnnydepp penélopecruz ianmcshane kevinmcnally geoffreyrush robmarshall recent
41154,Men in Black 3,2012,agents j will smith and k tommy lee jones are backin time j has seen some inexplicable things in his 15 years with the men in black but nothing not even aliens perplexes him as much as his wry reticent partner but when ks life and the fate of the planet are put at stake agent j will have to travel back in time to put things right j discovers that there are secrets to the universe that k never told him secrets that will reveal themselves as he teams up with the young agent k josh brolin to save his partner the agency and the future of humankind action comedy sciencefiction time travel time machine alien fictional government agency seeing the future changing history willsmith tommyleejones joshbrolin michaelstuhlbarg emmathompson barrysonnenfeld recent
122917,The Hobbit: The Battle of the Five Armies,2014,immediately after the events of the desolation of smaug bilbo and the dwarves try to defend erebors mountain of treasure from others who claim it the men of the ruined laketown and the elves of mirkwood meanwhile an army of orcs led by azog the defiler is marching on erebor fueled by the rise of the dark lord sauron dwarves elves and men must unite and the hope for middleearth falls into bilbos hands action adventure fantasy corruption elves dwarves orcs middle-earth (tolkien) hobbit dragon battle unlikely friendship epic battle sword and sorcery martinfreeman ianmckellen richardarmitage kenstott grahammctavish peterjackson recent
1930,The Amazing Spider-Man,2012,peter parker is an outcast high schooler abandoned by his parents as a boy leaving him to be raised by his uncle ben and aunt may like most teenagers peter is trying to figure out who he is and how he got to be the person he is today as peter discovers a mysterious briefcase that belonged to his father he begins a quest to understand his parents disappearance leading him directly to oscorp and the lab of dr curt connors his fathers former partner as spiderman is set on a collision course with connors alter ego the lizard peter will make lifealtering choices to use his powers and shape his destiny to become a hero action adventure fantasy loss of father vigilante serum marvel comic scientific experiment spider bite masked vigilante reboot super powers genetic engineering social outcast duringcreditsstinger andrewgarfield emmastone rhysifans denisleary campbellscott marcwebb recent
20662,Robin Hood,2010,when soldier robin happens upon the dying robert of loxley he promises to return the mans sword to his family in nottingham there he assumes roberts identity romances his widow marion and draws the ire of the towns sheriff and king johns henchman godfrey action adventure robin hood archer knight sherwood forest bow and arrow middle ages medieval king of england russellcrowe cateblanchett maxvonsydow williamhurt markstrong ridleyscott recent
57158,The Hobbit: The Desolation of Smaug,2013,the dwarves bilbo and gandalf have successfully escaped the misty mountains and bilbo has gained the one ring they all continue their journey to get their gold back from the dragon smaug adventure fantasy elves dwarves orcs hobbit dragon wizard sword and sorcery martinfreeman ianmckellen richardarmitage kenstott grahammctavish peterjackson recent
2268,The Golden Compass,2007,after overhearing a shocking secret precocious orphan lyra belacqua trades her carefree existence roaming the halls of jordan college for an otherworldly adventure in the far north unaware that its part of her destiny adventure fantasy england compass experiment lordship uncle polar bear orphan animal based on young adult novel dakotabluerichards nicolekidman danielcraig samelliott evagreen chrisweitz millennium
254,King Kong,2005,in 1933 new york an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious skull island where they encounter kong a giant ape who is immediately smitten with the leading lady adventure drama action film business screenplay show business film making film producer exotic island monster indigenous ship dinosaur naomiwatts jackblack adrienbrody thomaskretschmann colinhanks peterjackson millennium
597,Titanic,1997,84 years later a 101yearold woman named rose dewitt bukater tells the story to her granddaughter lizzy calvert brock lovett lewis bodine bobby buell and anatoly mikailavich on the keldysh about her life set in april 10th 1912 on a ship called titanic when young rose boards the departing ship with the upperclass passengers and her mother ruth dewitt bukater and her fianc caledon hockley meanwhile a drifter and artist named jack dawson and his best friend fabrizio de rossi win thirdclass tickets to the ship in a game and she explains the whole story from departure until the death of titanic on its first and last voyage april 15th 1912 at 220 in the morning drama romance thriller shipwreck iceberg ship panic titanic ocean liner epic rich woman - poor man love disaster tragic love class differences imax star crossed lovers steerage salvage rich snob 3d 1910s katewinslet leonardodicaprio francesfisher billyzane kathybates jamescameron modern
271110,Captain America: Civil War,2016,following the events of age of ultron the collective governments of the world pass an act designed to regulate all superhuman activity this polarizes opinion amongst the avengers causing two factions to side with iron man or captain america which causes an epic battle between former allies adventure action sciencefiction civil war war marvel comic sequel superhero based on comic book imax aftercreditsstinger duringcreditsstinger marvel cinematic universe 3d chrisevans robertdowneyjr. scarlettjohansson sebastianstan anthonymackie anthonyrusso recent
44833,Battleship,2012,when mankind beams a radio signal into space a reply comes from planet g in the form of several alien crafts that splash down in the waters off hawaii lieutenant alex hopper is a weapons officer assigned to the uss john paul jones part of an international naval coalition which becomes the worlds last hope for survival as they engage the hostile alien force of unimaginable strength while taking on the invaders hopper must also try to live up to the potential his brother and his fiances father admiral shane expect of him thriller action adventure sciencefiction fight u.s. navy mind reading hong kong soccer scientist fictional war naval armada battleship naval combat jds myoko lost communication taser buoy communications expert joint chiefs of staff crash landing jet fighter pilot navy lieutenant permission to marry uss john paul jones based on board game aftercreditsstinger mighty mo uss missouri taylorkitsch alexanderskarsgård rihanna brooklyndecker tadanobuasano peterberg recent
135397,Jurassic World,2015,twentytwo years after the events of jurassic park isla nublar now features a fully functioning dinosaur theme park jurassic world as originally envisioned by john hammond action adventure sciencefiction thriller monster dna tyrannosaurus rex velociraptor island sequel suspense disaster escape dinosaur amusement park animal attack theme park jurassic park 3d animal horror chrispratt brycedallashoward irrfankhan vincentd'onofrio nickrobinson colintrevorrow recent
37724,Skyfall,2012,when bonds latest assignment goes gravely wrong and agents around the world are exposed mi6 is attacked forcing m to relocate the agency these events cause her authority and position to be challenged by gareth mallory the new chairman of the intelligence and security committee with mi6 now compromised from both inside and out m is left with one ally she can trust bond 007 takes to the shadows aided only by field agent eve following a trail to the mysterious silva whose lethal and hidden motives have yet to reveal themselves action adventure thriller spy secret agent sociopath killer art gallery british secret service istanbul turkey imax uzi booby trap impersonating a police officer macao danielcraig judidench javierbardem ralphfiennes naomieharris sammendes recent
558,Spider-Man 2,2004,peter parker is going through a major identity crisis burned out from being spiderman he decides to shelve his superhero alter ego which leaves the city suffering in the wake of carnage left by the evil doc ock in the meantime parker still cant act on his feelings for mary jane watson a girl hes loved since childhood action adventure fantasy dual identity love of one's life pizza boy marvel comic sequel superhero doctor scientist tentacle death super villain tobeymaguire kirstendunst jamesfranco alfredmolina rosemaryharris samraimi millennium
68721,Iron Man 3,2013,when tony starks world is torn apart by a formidable terrorist called the mandarin he starts an odyssey of rebuilding and retribution action adventure sciencefiction terrorist war on terror tennessee malibu marvel comic superhero based on comic book tony stark iron man aftercreditsstinger marvel cinematic universe mandarin 3d war machine iron patriot extremis robertdowneyjr. gwynethpaltrow doncheadle guypearce rebeccahall shaneblack recent
12155,Alice in Wonderland,2010,alice an unpretentious and individual 19yearold is betrothed to a dunce of an english nobleman at her engagement party she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit arriving in a strange and surreal place called underland she finds herself in a world that resembles the nightmares she had as a child filled with talking animals villainous queens and knights and frumious bandersnatches alice realizes that she is there for a reason to conquer the horrific jabberwocky and restore the rightful queen to her throne family fantasy adventure based on novel fictional place queen fantasy alice in wonderland fantasy world 3d miawasikowska johnnydepp annehathaway helenabonhamcarter crispinglover timburton recent
36668,X-Men: The Last Stand,2006,when a cure is found to treat mutations lines are drawn amongst the xmen and the brotherhood a band of powerful mutants organized under xaviers former ally magneto adventure action sciencefiction thriller mutant marvel comic based on comic book superhuman beast cyclops aftercreditsstinger hughjackman halleberry ianmckellen patrickstewart famkejanssen brettratner millennium
62211,Monsters University,2013,a look at the relationship between mike and sulley during their days at monsters university when they werent necessarily the best of friends animation family monster dormitory games animation best friend university scary aftercreditsstinger billycrystal johngoodman stevebuscemi helenmirren noahjohnston danscanlon recent
8373,Transformers: Revenge of the Fallen,2009,sam witwicky leaves the autobots behind for a normal life but when his mind is filled with cryptic symbols the decepticons target him and he is dragged back into the transformers war sciencefiction action adventure egypt sun chaos symbol artifact transformers tank robot imax duringcreditsstinger shialabeouf meganfox joshduhamel rainnwilson tyresegibson michaelbay millennium
91314,Transformers: Age of Extinction,2014,as humanity picks up the pieces following the conclusion of transformers dark of the moon autobots and decepticons have all but vanished from the face of the planet however a group of powerful ingenious businessman and scientists attempt to learn from past transformer incursions and push the boundaries of technology beyond what they can control all while an ancient powerful transformer menace sets earth in his crosshairs sciencefiction action adventure sequel alien transformers giant robot robot imax transforming robot markwahlberg stanleytucci kelseygrammer nicolapeltz jackreynor michaelbay recent
68728,Oz: The Great and Powerful,2013,oscar diggs a smalltime circus illusionist and conartist is whisked from kansas to the land of oz where the inhabitants assume hes the great wizard of prophecy there to save oz from the clutches of evil fantasy adventure family circus witch magic hope illusion lost magic trick wizard 3d jamesfranco milakunis rachelweisz michellewilliams zachbraff samraimi recent
102382,The Amazing Spider-Man 2,2014,for peter parker life is busy between taking out the bad guys as spiderman and spending time with the person he loves gwen stacy high school graduation cannot come quickly enough peter has not forgotten about the promise he made to gwens father to protect her by staying away but that is a promise he cannot keep things will change for peter when a new villain electro emerges an old friend harry osborn returns and peter uncovers new clues about his past action adventure fantasy obsession marvel comic sequel based on comic book electrocution medical experiment electricity super powers andrewgarfield emmastone jamiefoxx danedehaan campbellscott marcwebb recent
20526,TRON: Legacy,2010,sam flynn the techsavvy and daring son of kevin flynn investigates his fathers disappearance and is pulled into the grid with the help of a mysterious program named quorra sam quests to stop evil dictator clu from crossing into the real world adventure action sciencefiction artificial intelligence secret identity computer program dystopia computer deception duel motorcycle neon light autocracy garretthedlund jeffbridges oliviawilde bruceboxleitner yayadacosta josephkosinski recent
49013,Cars 2,2011,star race car lightning mcqueen and his pal mater head overseas to compete in the world grand prix race but the road to the championship becomes rocky as mater gets caught up in an intriguing adventure of his own international espionage animation family adventure comedy car race sequel comedy anthropomorphism best friend duringcreditsstinger owenwilson larrythecableguy michaelcaine emilymortimer johnturturro johnlasseter recent
44912,Green Lantern,2011,for centuries a small but powerful force of warriors called the green lantern corps has sworn to keep intergalactic order each green lantern wears a ring that grants him superpowers but when a new enemy called parallax threatens to destroy the balance of power in the universe their fate and the fate of earth lie in the hands of the first human ever recruited adventure action thriller sciencefiction dc comics transformation superhero alien alien infection magical object protector super powers origin 3d ryanreynolds blakelively petersarsgaard timrobbins markstrong martincampbell recent
10193,Toy Story 3,2010,woody buzz and the rest of andys toys havent been played with in years with andy about to go to college the gang find themselves accidentally left at a nefarious day care center the toys must band together to escape and return home to andy animation family comedy hostage college toy barbie animation escape day care teddy bear duringcreditsstinger toy comes to life personification inanimate objects coming to life toy story tomhanks timallen nedbeatty joancusack michaelkeaton leeunkrich recent
534,Terminator Salvation,2009,all grown up in postapocalyptic 2018 john connor must lead the resistance of humans against the increasingly dominating militaristic robots but when marcus wright appears his existence confuses the mission as connor tries to determine whether wright has come from the future or the past and whether hes friend or foe action sciencefiction thriller saving the world artificial intelligence prophecy san francisco cyborg killer robot gas station post-apocalyptic dystopia army firearm wartime los angeles christianbale samworthington antonyelchin moonbloodgood brycedallashoward mcg millennium
168259,Furious 7,2015,deckard shaw seeks revenge against dominic toretto and his family for his comatose brother action car race speed revenge suspense car race muscle car vindiesel paulwalker dwaynejohnson michellerodriguez tyresegibson jameswan recent
72190,World War Z,2013,life for former united nations investigator gerry lane and his family seems content suddenly the world is plagued by a mysterious infection turning whole human populations into rampaging mindless zombies after barely escaping the chaos lane is persuaded to go on a mission to investigate this disease what follows is a perilous trek around the world where lane must brave horrific dangers and long odds to find answers before human civilization falls action drama horror sciencefiction thriller dystopia apocalypse zombie nuclear weapons multiple perspectives zombie apocalypse bradpitt mireilleenos abigailhargrove sterlingjerins jamesbadgedale marcforster recent
127585,X-Men: Days of Future Past,2014,the ultimate xmen ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past to save our future action adventure fantasy sciencefiction 1970s mutant time travel marvel comic based on comic book superhuman storm beast aftercreditsstinger changing the past or future hughjackman jamesmcavoy michaelfassbender jenniferlawrence halleberry bryansinger recent
54138,Star Trek Into Darkness,2013,when the crew of the enterprise is called back home they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for leaving our world in a state of crisis with a personal score to settle captain kirk leads a manhunt to a warzone world to capture a one man weapon of mass destruction as our heroes are propelled into an epic chess game of life and death love will be challenged friendships will be torn apart and sacrifices must be made for the only family kirk has left his crew action adventure sciencefiction spacecraft friendship sequel futuristic space alien imax space opera terrorist bombing 3d chrispine zacharyquinto zoesaldana karlurban simonpegg j.j.abrams recent
81005,Jack the Giant Slayer,2013,the story of an ancient war that is reignited when a young farmhand unwittingly opens a gateway between our world and a fearsome race of giants unleashed on the earth for the first time in centuries the giants strive to reclaim the land they once lost forcing the young man jack into the battle of his life to stop them fighting for a kingdom its people and the love of a brave princess he comes face to face with the unstoppable warriors he thought only existed in legendand gets the chance to become a legend himself action family fantasy based on fairy tale giant nicholashoult eleanortomlinson ewanmcgregor stanleytucci ianmcshane bryansinger recent
64682,The Great Gatsby,2013,an adaptation of f scott fitzgeralds long islandset novel where midwesterner nick carraway is lured into the lavish world of his neighbor jay gatsby soon enough however carraway will see through the cracks of gatsbys nouveau riche existence where obsession madness and tragedy await drama romance based on novel infidelity obsession hope 3d leonardodicaprio tobeymaguire careymulligan joeledgerton elizabethdebicki bazluhrmann recent
9543,Prince of Persia: The Sands of Time,2010,a rogue prince reluctantly joins forces with a mysterious princess and together they race against dark forces to safeguard an ancient dagger capable of releasing the sands of time gift from the gods that can reverse time and allow its possessor to rule the world adventure fantasy action romance persia sandstorm brother against brother armageddon regent based on video game jakegyllenhaal gemmaarterton benkingsley alfredmolina stevetoussaint mikenewell recent
68726,Pacific Rim,2013,when legions of monstrous creatures known as kaiju started rising from the sea a war began that would take millions of lives and consume humanitys resources for years on end to combat the giant kaiju a special type of weapon was devised massive robots called jaegers which are controlled simultaneously by two pilots whose minds are locked in a neural bridge but even the jaegers are proving nearly defenseless in the face of the relentless kaiju on the verge of defeat the forces defending mankind have no choice but to turn to two unlikely heroesa washedup former pilot charlie hunnam and an untested trainee rinko kikuchiwho are teamed to drive a legendary but seemingly obsolete jaeger from the past together they stand as mankinds last hope against the mounting apocalypse action sciencefiction adventure dystopia giant robot giant monster apocalypse imax duringcreditsstinger 3d idriselba charliehunnam charlieday ronperlman burngorman guillermodeltoro recent
38356,Transformers: Dark of the Moon,2011,sam witwicky takes his first tenuous steps into adulthood while remaining a reluctant human ally of autobotleader optimus prime the film centers around the space race between the ussr and the usa suggesting there was a hidden transformers role in it all that remains one of the planets most dangerous secrets action sciencefiction adventure moon spacecraft traitor bodyguard alien planet based on cartoon transformers giant robot sabotage word domination commando duringcreditsstinger shialabeouf johnmalkovich kenjeong francesmcdormand joshduhamel michaelbay recent
217,Indiana Jones and the Kingdom of the Crystal Skull,2008,set during the cold war the soviets led by swordwielding irina spalko are in search of a crystal skull which has supernatural powers related to a mystical lost city of gold after being captured and then escaping from them indy is coerced to head to peru at the behest of a young man whose friend and indys colleague professor oxley has been captured for his knowledge of the skulls whereabouts adventure action saving the world riddle whip treasure mexico city leather jacket machinegun alien phenomenons maya civilization peru treasure hunt nuclear explosion refrigerator archaeologist indiana jones archeology  harrisonford cateblanchett shialabeouf raywinstone karenallen stevenspielberg millennium
105864,The Good Dinosaur,2015,an epic journey into the world of dinosaurs where an apatosaurus named arlo makes an unlikely human friend adventure animation family tyrannosaurus rex friends alternate history dinosaur fear storm nature human journey raymondochoa jackbright jeffreywright francesmcdormand maleahnipay-padilla petersohn recent
62177,Brave,2012,brave is set in the mystical scottish highlands where mrida is the princess of a kingdom ruled by king fergus and queen elinor an unruly daughter and an accomplished archer mrida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom in an attempt to set things right mrida seeks out an eccentric old wise woman and is granted an illfated wish also figuring into mridas quest and serving as comic relief are the kingdoms three lords the enormous lord macguffin the surly lord macintosh and the disagreeable lord dingwall animation adventure comedy family action fantasy scotland rebel bravery kingdom archer wish bear scot rebellious daughter turns into animal archery ruins aftercreditsstinger peace offering woman director courage 3d kellymacdonald juliewalters billyconnolly emmathompson kevinmckidd brendachapman recent
188927,Star Trek Beyond,2016,the uss enterprise crew explores the furthest reaches of uncharted space where they encounter a mysterious new enemy who puts them and everything the federation stands for to the test action adventure sciencefiction sequel stranded hatred space opera chrispine zacharyquinto karlurban simonpegg zoesaldana justinlin recent
10681,WALL·E,2008,walle is the last robot left on an earth that has been overrun with garbage and all humans have fled to outer space for 700 years he has continued to try and clean up the mess but has developed some rather interesting humanlike qualities when a ship arrives with a sleek new type of robot walle thinks hes finally found a friend and stows away on the ship when it leaves animation family romantic comedy benburtt elissaknight jeffgarlin fredwillard johnratzenberger andrewstanton millennium
5174,Rush Hour 3,2007,after an attempted assassination on ambassador han inspector lee and detective carter are back in action as they head to paris to protect a french woman with knowledge of the triads secret leaders lee also holds secret meetings with a united nations authority but his personal struggles with a chinese criminal mastermind named kenji which reveals that its lees longlostbrother action comedy crime thriller ambassador christucker jackiechan hiroyukisanada maxvonsydow yvanattal brettratner millennium
14161,2012,2009,dr adrian helmsley part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms learns that the earths core is heating up he warns us president thomas wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the worlds population the entire race is doomed meanwhile writer jackson curtis stumbles on the same information while the worlds leaders race to build arks to escape the impending cataclysm curtis struggles to find a way to save his family meanwhile volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world action adventure sciencefiction civilization natural disaster end of the world disaster apocalypse destruction volcanic eruption mayan ark solar destruction  of mankind johncusack amandapeet chiwetelejiofor thandienewton oliverplatt rolandemmerich millennium
17979,A Christmas Carol,2009,miser ebenezer scrooge is awakened on christmas eve by spirits who reveal to him his own miserable existence what opportunities he wasted in his youth his current cruelties and the dire fate that awaits him if he does not change his ways scrooge is faced with his own story of growing bitterness and meanness and must decide what his own future will hold death or redemption animation drama holiday based on novel victorian england money christmas eve scrooge christmas carol ghost lesson charles dickens christmas garyoldman jimcarrey stevevalentine darylsabara sageryan robertzemeckis millennium
76757,Jupiter Ascending,2015,in a universe where human genetic material is the most precious commodity an impoverished young earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty sciencefiction fantasy action adventure jupiter space woman director 3d interspecies romance milakunis channingtatum seanbean eddieredmayne douglasbooth lillywachowski recent
258489,The Legend of Tarzan,2016,tarzan having acclimated to life in london is called back to his former home in the jungle to investigate the activities at a mining encampment action adventure africa feral child tarzan jungle animal attack alexanderskarsgård margotrobbie christophwaltz samuell.jackson djimonhounsou davidyates recent
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,siblings lucy edmund susan and peter step through a magical wardrobe and find the land of narnia there the they discover a charming once peaceful kingdom that has been plunged into eternal winter by the evil white witch jadis aided by the wise and magnificent lion aslan the children lead narnia into a spectacular climactic battle to be free of the witchs glacial powers forever adventure family fantasy saving the world witch based on novel brother sister relationship self sacrifice winter cupboard beaver lion fairy-tale figure battle narnia fantasy world duringcreditsstinger williammoseley annapopplewell skandarkeynes georgiehenley liamneeson andrewadamson millennium
246655,X-Men: Apocalypse,2016,after the reemergence of the worlds first mutant worlddestroyer apocalypse the xmen must unite to defeat his extinction level plan sciencefiction mutant supernatural powers marvel comic superhero based on comic book superhuman apocalypse superhero team world domination aftercreditsstinger 1980s jamesmcavoy michaelfassbender jenniferlawrence nicholashoult oscarisaac bryansinger recent
155,The Dark Knight,2008,batman raises the stakes in his war on crime with the help of lt jim gordon and district attorney harvey dent batman sets out to dismantle the remaining criminal organizations that plague the streets the partnership proves to be effective but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of gotham as the joker drama action crime thriller dc comics crime fighter secret identity scarecrow sadism chaos gotham city vigilante joker superhero based on comic book tragic hero organized crime criminal mastermind district attorney imax super villain super powers batman christianbale heathledger aaroneckhart michaelcaine maggiegyllenhaal christophernolan millennium
14160,Up,2009,carl fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest but at age 78 life seems to have passed him by until a twist of fate and a persistent 8year old wilderness explorer named russell gives him a new lease on life animation comedy family adventure age difference central and south america balloon animation floating in the air duringcreditsstinger exploring edasner christopherplummer jordannagai bobpeterson delroylindo petedocter millennium
15512,Monsters vs Aliens,2009,when susan murphy is unwittingly clobbered by a meteor full of outer space gunk on her wedding day she mysteriously grows to 49feet11inches the military jumps into action and captures susan secreting her away to a covert government compound she is renamed ginormica and placed in confinement with a ragtag group of monsters animation family adventure sciencefiction alien giant robot duringcreditsstinger sethrogen reesewitherspoon hughlaurie paulrudd kiefersutherland conradvernon millennium
